,Test Dataset Info,Predicted Classes,Predicted Classes,Predicted Classes,Predicted Classes,Predicted Classes,Binary drone metrics,Binary drone metrics,Binary drone metrics,Binary drone metrics,Binary drone metrics,Binary drone metrics,General metrics,General metrics
,True class,electric_quad_drone,petrol_fixedwing_drone,racing_drone,electric_fixedwing_drone,non-drone,Drone TP,Drone TN,Drone FP,Drone FN,Drone FPR,Drone Accuracy,Evaluation Accuracy,Evaluation Loss
Speech,non-drone,497.0,134.0,54.0,53.0,1095.0,1833,0,0,0,0.0,1.0,0.6,1.0
Animal,non-drone,19.0,397.0,66.0,16.0,1326.0,1824,0,0,0,0.0,1.0,0.73,0.76
Nature_chernobyl,non-drone,146.0,35.0,86.0,1.0,1930.0,2198,0,0,0,0.0,1.0,0.88,0.41
Petrol_fixedwing_drone,petrol_fixedwing_drone,394.0,1068.0,107.0,159.0,18.0,1746,0,0,0,0.0,1.0,0.61,1.05
Dvc_non_drone,non-drone,125.0,2.0,46.0,67.0,1633.0,1873,0,0,0,0.0,1.0,0.87,0.42
Electric_fixedwing_drone,electric_fixedwing_drone,1569.0,189.0,143.0,841.0,285.0,3027,0,0,0,0.0,1.0,0.28,1.93
Racing_drone,racing_drone,765.0,3.0,1432.0,8.0,74.0,2282,0,0,0,0.0,1.0,0.63,0.96
Electric_quad_drone,electric_quad_drone,1589.0,17.0,199.0,192.0,54.0,2051,0,0,0,0.0,1.0,0.77,0.58
Summary,,,,,,,16834,0,0,0,0.0,1.0,0.67,0.89
