,Test Dataset Info,Predicted Classes,Predicted Classes,Predicted Classes,Binary drone metrics,Binary drone metrics,Binary drone metrics,Binary drone metrics,Binary drone metrics,Binary drone metrics,General metrics,General metrics
,True class,petrol_fixedwing_drone,other-drones,other,Drone TP,Drone TN,Drone FP,Drone FN,Drone FPR,Drone Accuracy,Evaluation Accuracy,Evaluation Loss
Speech,other,254.0,152.0,1431.0,0,1431,406,0,0.22,0.78,0.78,0.61
Animal,other,333.0,44.0,1447.0,0,1447,377,0,0.21,0.79,0.79,0.57
TUT_dcase,other,0.0,2.0,2548.0,0,2548,2,0,0.0,1.0,1.0,0.01
Nature_chernobyl,other,33.0,93.0,2072.0,0,2072,126,0,0.06,0.94,0.94,0.19
Petrol_fixedwing_drone,petrol_fixedwing_drone,1224.0,472.0,50.0,1696,0,0,50,0.0,0.97,0.7,0.85
Dvc_non_drone,other,1.0,100.0,1772.0,0,1772,101,0,0.05,0.95,0.95,0.17
Electric_fixedwing_drone,other-drones,197.0,2405.0,425.0,2602,0,0,425,0.0,0.86,0.79,0.49
Racing_drone,other-drones,36.0,1983.0,263.0,2019,0,0,263,0.0,0.88,0.87,0.33
Electric_quad_drone,other-drones,36.0,1922.0,93.0,1958,0,0,93,0.0,0.95,0.94,0.21
Summary,,,,,8275,9270,1012,831,0.06,0.9,0.86,0.38
